FirstName,LastName,Team
Jozy,Altidore,United States
Matt,Besler,United States
Steve,Birnbaum,United States
Michael,Bradley,United States
Clint,Dempsey,United States
Mix,Diskerud,United States
Luis,Gil,United States
Matt,Hedges,United States
Miguel,Ibarra,United States
Sean,Johnson,United States
Jermaine,Jones,United States
Jon,Kempin,United States
Perry,Kitchen,United States
Lee,Nguyen,United States
Shane,O'Neill,United States
Nick,Rimando,United States
Dillon,Serna,United States
Brek,Shea,United States
Wil,Trapp,United States
Chris,Wondolowski,United States
Bobby,Wood,United States
Gyasi,Zardes,United States
DeAndre,Yedlin,United States
Neuer,Manuel,Germany
Weidenfeller,Roman,Germany
Zieler,Ron-Robert,Germany
Adler,René,Germany
Lahm,Philipp,Germany
Boateng,Jérôme,Germany
Höwedes,Benedikt,Germany
Schmelzer,Marcel,Germany
Badstuber,Holger,Germany
Jung,Sebastian,Germany
Schwaab,Daniel,Germany
Hummels,Mats,Germany
Bender,Sven,Germany
Mertesacker,Per,Germany
Wollscheid,Philipp,Germany
Tasci,Serdar,Germany
Huth,Robert,Germany
Friedrich,Manuel,Germany
Bender,Lars,Germany
Schweinsteiger,Bastian,Germany
Kroos,Toni,Germany
Khedira,Sami,Germany
Gündoğan,Ilkay,Germany
Reus,Marco,Germany
Özil,Mesut,Germany
Müller,Thomas,Germany
Götze,Mario,Germany
Podolski,Lukas,Germany
Kiessling,Stefan,Germany
Gómez,Mario,Germany
Hart,Joe,England
Forster,Fraser,England
Foster,Ben,England
Ruddy,John,England
Baines,Leighton,England
Johnson,Glen,England
Cole,Ashley,England
Lescott,Joleon,England
Carrick,Michael,England
Terry,John,England
Cahill,Gary,England
Jagielka,Phil,England
Richards,Micah,England
Smalling,Chris,England
Barry,Gareth,England
Shawcross,Ryan,England
Dawson,Michael,England
Turner,Michael,England
Young,Ashley,England
Lampard,Frank,England
Gerrard,Steven,England
Milner,James,England
Rooney,Wayne,England
Wilshere,Jack,England
Welbeck,Danny,England
Lennon,Aaron,England
Walcott,Theo,England
Sturridge,Daniel,England
Lambert,Rickie,England
Defoe,Jermain,England
Ochoa,Guillermo,Mexico
Corona,Jesús,Mexico
Muñoz,Moisés,Mexico
Talavera,Alfredo,Mexico
Guardado,Andrés,Mexico
Layún,Miguel,Mexico
Torres Nilo,Jorge,Mexico
Salcido,Carlos,Mexico
Aguilar,Paul,Mexico
Aldrete,Adrián,Mexico
Velarde,Efraín,Mexico
Magallón,Jonny,Mexico
Chavez,Dárvin,Mexico
Moreno,Héctor,Mexico
Reyes,Diego,Mexico
Marquez,Rafael,Mexico
Maza,Rodríguez,Mexico
Domínguez,Julio,Mexico
Mier,Hiram,Mexico
Huiqui,Joel,Mexico
Valenzuela,Juan Carlos,Mexico
Rodríguez,Chato,Mexico
Herrera,Héctor,Mexico
Vela,Carlos,Mexico
Dos Santos,Giovani,Mexico
Aquino,Javier,Mexico
Jiménez,Raúl,Mexico
Hernández,Javier,Mexico
Peralta,Oribe,Mexico
Orozco,Javier,Mexico
